location,date,variant,num_sequences,perc_sequences,num_sequences_total
Angola,2021-01-04,B.1.620,0,0.0,5
Angola,2021-01-04,Beta,0,0.0,5
Angola,2021-01-04,Delta,0,0.0,5
Angola,2021-01-04,Epsilon,0,0.0,5
Angola,2021-01-04,Eta,0,0.0,5
Angola,2021-01-04,Gamma,0,0.0,5
Angola,2021-01-04,Iota,0,0.0,5
Angola,2021-01-04,Kappa,0,0.0,5
Angola,2021-01-04,Lambda,0,0.0,5
Angola,2021-01-04,Mu,0,0.0,5
Angola,2021-01-04,Omicron,0,0.0,5
Angola,2021-01-04,S:677H.Robin1,0,0.0,5
Angola,2021-01-04,S:677P.Pelican,0,0.0,5
Angola,2021-01-04,others,5,100.0,5
Angola,2021-01-04,non_who,5,100.0,5
Angola,2021-01-11,Alpha,0,0.0,16
Angola,2021-01-11,B.1.1.277,0,0.0,16
Angola,2021-01-11,B.1.1.302,0,0.0,16
Angola,2021-01-11,B.1.1.519,0,0.0,16
Angola,2021-01-11,B.1.160,0,0.0,16
Angola,2021-01-11,B.1.177,0,0.0,16
Angola,2021-01-11,B.1.221,0,0.0,16
Angola,2021-01-11,B.1.258,0,0.0,16
Angola,2021-01-11,B.1.367,0,0.0,16
Angola,2021-01-11,B.1.620,0,0.0,16
Angola,2021-01-11,Beta,1,6.25,16
Angola,2021-01-11,Delta,0,0.0,16
Angola,2021-01-11,Epsilon,0,0.0,16
Angola,2021-01-11,Eta,0,0.0,16
Angola,2021-01-11,Gamma,0,0.0,16
Angola,2021-01-11,Iota,0,0.0,16
Angola,2021-01-11,Kappa,0,0.0,16
Angola,2021-01-11,Lambda,0,0.0,16
Angola,2021-01-11,Mu,0,0.0,16
Angola,2021-01-11,Omicron,0,0.0,16
Angola,2021-01-11,S:677H.Robin1,0,0.0,16
Angola,2021-01-11,S:677P.Pelican,0,0.0,16
Angola,2021-01-11,others,15,93.75,16
Angola,2021-01-11,non_who,15,93.75,16
Angola,2021-01-25,Alpha,3,5.77,52
Angola,2021-01-25,B.1.1.277,0,0.0,52
Angola,2021-01-25,B.1.1.302,0,0.0,52
Angola,2021-01-25,B.1.1.519,0,0.0,52
Angola,2021-01-25,B.1.160,1,1.92,52
Angola,2021-01-25,B.1.177,2,3.85,52
Angola,2021-01-25,B.1.221,0,0.0,52
Angola,2021-01-25,B.1.258,1,1.92,52
Angola,2021-01-25,B.1.367,0,0.0,52
Angola,2021-01-25,B.1.620,0,0.0,52
Angola,2021-01-25,Beta,2,3.85,52
Angola,2021-01-25,Delta,0,0.0,52
Angola,2021-01-25,Epsilon,0,0.0,52
Angola,2021-01-25,Eta,0,0.0,52
Angola,2021-01-25,Gamma,0,0.0,52
Angola,2021-01-25,Iota,0,0.0,52
Angola,2021-01-25,Kappa,0,0.0,52
Angola,2021-01-25,Lambda,0,0.0,52
Angola,2021-01-25,Mu,0,0.0,52
Angola,2021-01-25,Omicron,0,0.0,52
Angola,2021-01-25,S:677H.Robin1,0,0.0,52
Angola,2021-01-25,S:677P.Pelican,0,0.0,52
Angola,2021-01-25,others,43,82.69,52
Angola,2021-01-25,non_who,47,90.38,52
Angola,2021-02-08,Alpha,4,9.52,42
Angola,2021-02-08,B.1.1.277,0,0.0,42
Angola,2021-02-08,B.1.1.302,0,0.0,42
Angola,2021-02-08,B.1.1.519,0,0.0,42
Angola,2021-02-08,B.1.160,1,2.38,42
Angola,2021-02-08,B.1.177,0,0.0,42
Angola,2021-02-08,B.1.221,0,0.0,42
Angola,2021-02-08,B.1.258,0,0.0,42
Angola,2021-02-08,B.1.367,0,0.0,42
Angola,2021-02-08,B.1.620,0,0.0,42
Angola,2021-02-08,Beta,12,28.57,42
Angola,2021-02-08,Delta,0,0.0,42
Angola,2021-02-08,Epsilon,0,0.0,42
Angola,2021-02-08,Eta,0,0.0,42
Angola,2021-02-08,Gamma,0,0.0,42
Angola,2021-02-08,Iota,0,0.0,42
Angola,2021-02-08,Kappa,0,0.0,42
Angola,2021-02-08,Lambda,0,0.0,42
Angola,2021-02-08,Mu,0,0.0,42
Angola,2021-02-08,Omicron,0,0.0,42
Angola,2021-02-08,S:677H.Robin1,0,0.0,42
Angola,2021-02-08,S:677P.Pelican,0,0.0,42
Angola,2021-02-08,others,25,59.53,42
Angola,2021-02-08,non_who,26,61.91,42
Angola,2021-02-22,Alpha,1,2.56,39
Angola,2021-02-22,B.1.1.277,0,0.0,39
Angola,2021-02-22,B.1.1.302,0,0.0,39
Angola,2021-02-22,B.1.1.519,0,0.0,39
Angola,2021-02-22,B.1.160,1,2.56,39
Angola,2021-02-22,B.1.177,1,2.56,39
Angola,2021-02-22,B.1.221,0,0.0,39
Angola,2021-02-22,B.1.258,0,0.0,39
Angola,2021-02-22,B.1.367,0,0.0,39
Angola,2021-02-22,B.1.620,0,0.0,39
Angola,2021-02-22,Beta,16,41.03,39
Angola,2021-02-22,Delta,0,0.0,39
Angola,2021-02-22,Epsilon,0,0.0,39
Angola,2021-02-22,Eta,0,0.0,39
Angola,2021-02-22,Gamma,0,0.0,39
Angola,2021-02-22,Iota,0,0.0,39
Angola,2021-02-22,Kappa,0,0.0,39
Angola,2021-02-22,Lambda,0,0.0,39
Angola,2021-02-22,Mu,0,0.0,39
Angola,2021-02-22,Omicron,0,0.0,39
Angola,2021-02-22,S:677H.Robin1,0,0.0,39
Angola,2021-02-22,S:677P.Pelican,0,0.0,39
Angola,2021-02-22,others,20,51.29,39
Angola,2021-02-22,non_who,22,56.41,39
Angola,2021-03-08,Alpha,7,6.19,113
Angola,2021-03-08,B.1.1.277,0,0.0,113
Angola,2021-03-08,B.1.1.302,0,0.0,113
Angola,2021-03-08,B.1.1.519,0,0.0,113
Angola,2021-03-08,B.1.160,0,0.0,113
Angola,2021-03-08,B.1.177,1,0.88,113
Angola,2021-03-08,B.1.221,0,0.0,113
Angola,2021-03-08,B.1.258,0,0.0,113
Angola,2021-03-08,B.1.367,0,0.0,113
Angola,2021-03-08,B.1.620,0,0.0,113
Angola,2021-03-08,Beta,69,61.06,113
Angola,2021-03-08,Delta,0,0.0,113
Angola,2021-03-08,Epsilon,0,0.0,113
Angola,2021-03-08,Eta,0,0.0,113
Angola,2021-03-08,Gamma,0,0.0,113
Angola,2021-03-08,Iota,0,0.0,113
Angola,2021-03-08,Kappa,0,0.0,113
Angola,2021-03-08,Lambda,0,0.0,113
Angola,2021-03-08,Mu,0,0.0,113
Angola,2021-03-08,Omicron,0,0.0,113
Angola,2021-03-08,S:677H.Robin1,0,0.0,113
Angola,2021-03-08,S:677P.Pelican,0,0.0,113
Angola,2021-03-08,others,36,31.87,113
Angola,2021-03-08,non_who,37,32.75,113
Angola,2021-03-22,Alpha,12,9.92,121
Angola,2021-03-22,B.1.1.277,0,0.0,121
Angola,2021-03-22,B.1.1.302,0,0.0,121
Angola,2021-03-22,B.1.1.519,0,0.0,121
Angola,2021-03-22,B.1.160,0,0.0,121
Angola,2021-03-22,B.1.177,0,0.0,121
Angola,2021-03-22,B.1.221,0,0.0,121
Angola,2021-03-22,B.1.258,0,0.0,121
Angola,2021-03-22,B.1.367,0,0.0,121
Angola,2021-03-22,B.1.620,0,0.0,121
Angola,2021-03-22,Beta,87,71.9,121
Angola,2021-03-22,Delta,0,0.0,121
Angola,2021-03-22,Epsilon,0,0.0,121
Angola,2021-03-22,Eta,1,0.83,121
Angola,2021-03-22,Gamma,0,0.0,121
Angola,2021-03-22,Iota,0,0.0,121
Angola,2021-03-22,Kappa,1,0.83,121
Angola,2021-03-22,Lambda,0,0.0,121
Angola,2021-03-22,Mu,0,0.0,121
Angola,2021-03-22,Omicron,0,0.0,121
Angola,2021-03-22,S:677H.Robin1,0,0.0,121
Angola,2021-03-22,S:677P.Pelican,0,0.0,121
Angola,2021-03-22,others,20,16.52,121
Angola,2021-03-22,non_who,20,16.52,121
Angola,2021-04-05,Alpha,32,23.36,137
Angola,2021-04-05,B.1.1.277,0,0.0,137
Angola,2021-04-05,B.1.1.302,0,0.0,137
Angola,2021-04-05,B.1.1.519,0,0.0,137
Angola,2021-04-05,B.1.160,0,0.0,137
Angola,2021-04-05,B.1.177,0,0.0,137
Angola,2021-04-05,B.1.221,0,0.0,137
Angola,2021-04-05,B.1.258,0,0.0,137
Angola,2021-04-05,B.1.367,0,0.0,137
Angola,2021-04-05,B.1.620,2,1.46,137
Angola,2021-04-05,Beta,64,46.72,137
Angola,2021-04-05,Delta,0,0.0,137
Angola,2021-04-05,Epsilon,0,0.0,137
Angola,2021-04-05,Eta,6,4.38,137
Angola,2021-04-05,Gamma,1,0.73,137
Angola,2021-04-05,Iota,0,0.0,137
Angola,2021-04-05,Kappa,4,2.92,137
Angola,2021-04-05,Lambda,0,0.0,137
Angola,2021-04-05,Mu,0,0.0,137
Angola,2021-04-05,Omicron,0,0.0,137
Angola,2021-04-05,S:677H.Robin1,0,0.0,137
Angola,2021-04-05,S:677P.Pelican,0,0.0,137
Angola,2021-04-05,others,28,20.43,137
Angola,2021-04-05,non_who,30,21.89,137
Angola,2021-04-19,Alpha,21,25.3,83
Angola,2021-04-19,B.1.1.277,0,0.0,83
Angola,2021-04-19,B.1.1.302,0,0.0,83
Angola,2021-04-19,B.1.1.519,0,0.0,83
Angola,2021-04-19,B.1.160,0,0.0,83
Angola,2021-04-19,B.1.177,0,0.0,83
Angola,2021-04-19,B.1.221,0,0.0,83
Angola,2021-04-19,B.1.258,0,0.0,83
Angola,2021-04-19,B.1.367,0,0.0,83
Angola,2021-04-19,B.1.620,0,0.0,83
Angola,2021-04-19,Beta,31,37.35,83
Angola,2021-04-19,Delta,2,2.41,83
Angola,2021-04-19,Epsilon,0,0.0,83
Angola,2021-04-19,Eta,2,2.41,83
Angola,2021-04-19,Gamma,0,0.0,83
Angola,2021-04-19,Iota,0,0.0,83
Angola,2021-04-19,Kappa,1,1.2,83
Angola,2021-04-19,Lambda,0,0.0,83
Angola,2021-04-19,Mu,0,0.0,83
Angola,2021-04-19,Omicron,0,0.0,83
Angola,2021-04-19,S:677H.Robin1,0,0.0,83
Angola,2021-04-19,S:677P.Pelican,0,0.0,83
Angola,2021-04-19,others,26,31.33,83
Angola,2021-04-19,non_who,26,31.33,83
Angola,2021-05-03,Alpha,11,32.35,34
Angola,2021-05-03,B.1.1.277,0,0.0,34
Angola,2021-05-03,B.1.1.302,0,0.0,34
Angola,2021-05-03,B.1.1.519,0,0.0,34
Angola,2021-05-03,B.1.160,0,0.0,34
Angola,2021-05-03,B.1.177,0,0.0,34
Angola,2021-05-03,B.1.221,0,0.0,34
Angola,2021-05-03,B.1.258,0,0.0,34
Angola,2021-05-03,B.1.367,0,0.0,34
Angola,2021-05-03,B.1.620,0,0.0,34
Angola,2021-05-03,Beta,17,50.0,34
Angola,2021-05-03,Delta,1,2.94,34
Angola,2021-05-03,Epsilon,0,0.0,34
Angola,2021-05-03,Eta,0,0.0,34
Angola,2021-05-03,Gamma,0,0.0,34
Angola,2021-05-03,Iota,0,0.0,34
Angola,2021-05-03,Kappa,0,0.0,34
Angola,2021-05-03,Lambda,0,0.0,34
Angola,2021-05-03,Mu,0,0.0,34
Angola,2021-05-03,Omicron,0,0.0,34
Angola,2021-05-03,S:677H.Robin1,0,0.0,34
Angola,2021-05-03,S:677P.Pelican,0,0.0,34
Angola,2021-05-03,others,5,14.71,34
Angola,2021-05-03,non_who,5,14.71,34
Angola,2021-05-17,Alpha,0,0.0,5
Angola,2021-05-17,B.1.1.277,0,0.0,5
Angola,2021-05-17,B.1.1.302,0,0.0,5
Angola,2021-05-17,B.1.1.519,0,0.0,5
Angola,2021-05-17,B.1.160,0,0.0,5
Angola,2021-05-17,B.1.177,0,0.0,5
Angola,2021-05-17,B.1.221,0,0.0,5
Angola,2021-05-17,B.1.258,0,0.0,5
Angola,2021-05-17,B.1.367,0,0.0,5
Angola,2021-05-17,B.1.620,0,0.0,5
Angola,2021-05-17,Beta,0,0.0,5
Angola,2021-05-17,Delta,4,80.0,5
Angola,2021-05-17,Epsilon,0,0.0,5
Angola,2021-05-17,Eta,0,0.0,5
Angola,2021-05-17,Gamma,0,0.0,5
Angola,2021-05-17,Iota,0,0.0,5
Angola,2021-05-17,Kappa,0,0.0,5
Angola,2021-05-17,Lambda,0,0.0,5
Angola,2021-05-17,Mu,0,0.0,5
Angola,2021-05-17,Omicron,0,0.0,5
Angola,2021-05-17,S:677H.Robin1,0,0.0,5
Angola,2021-05-17,S:677P.Pelican,0,0.0,5
Angola,2021-05-17,others,1,20.0,5
Angola,2021-05-17,non_who,1,20.0,5
Angola,2021-05-31,Alpha,7,100.0,7
Angola,2021-05-31,B.1.1.277,0,0.0,7
Angola,2021-05-31,B.1.1.302,0,0.0,7
Angola,2021-05-31,B.1.1.519,0,0.0,7
Angola,2021-05-31,B.1.160,0,0.0,7
Angola,2021-05-31,B.1.177,0,0.0,7
Angola,2021-05-31,B.1.221,0,0.0,7
Angola,2021-05-31,B.1.258,0,0.0,7
Angola,2021-05-31,B.1.367,0,0.0,7
Angola,2021-05-31,B.1.620,0,0.0,7
Angola,2021-05-31,Beta,0,0.0,7
Angola,2021-05-31,Delta,0,0.0,7
Angola,2021-05-31,Epsilon,0,0.0,7
Angola,2021-05-31,Eta,0,0.0,7
Angola,2021-05-31,Gamma,0,0.0,7
Angola,2021-05-31,Iota,0,0.0,7
Angola,2021-05-31,Kappa,0,0.0,7
Angola,2021-05-31,Lambda,0,0.0,7
Angola,2021-05-31,Mu,0,0.0,7
Angola,2021-05-31,Omicron,0,0.0,7
Angola,2021-05-31,S:677H.Robin1,0,0.0,7
Angola,2021-05-31,S:677P.Pelican,0,0.0,7
Angola,2021-05-31,others,0,0.0,7
Angola,2021-05-31,non_who,0,0.0,7
Angola,2021-06-14,Alpha,17,77.27,22
Angola,2021-06-14,B.1.1.277,0,0.0,22
Angola,2021-06-14,B.1.1.302,0,0.0,22
Angola,2021-06-14,B.1.1.519,0,0.0,22
Angola,2021-06-14,B.1.160,0,0.0,22
Angola,2021-06-14,B.1.177,0,0.0,22
Angola,2021-06-14,B.1.221,0,0.0,22
Angola,2021-06-14,B.1.258,0,0.0,22
Angola,2021-06-14,B.1.367,0,0.0,22
Angola,2021-06-14,B.1.620,0,0.0,22
Angola,2021-06-14,Beta,5,22.73,22
Angola,2021-06-14,Delta,0,0.0,22
Angola,2021-06-14,Epsilon,0,0.0,22
Angola,2021-06-14,Eta,0,0.0,22
Angola,2021-06-14,Gamma,0,0.0,22
Angola,2021-06-14,Iota,0,0.0,22
Angola,2021-06-14,Kappa,0,0.0,22
Angola,2021-06-14,Lambda,0,0.0,22
Angola,2021-06-14,Mu,0,0.0,22
Angola,2021-06-14,Omicron,0,0.0,22
Angola,2021-06-14,S:677H.Robin1,0,0.0,22
Angola,2021-06-14,S:677P.Pelican,0,0.0,22
Angola,2021-06-14,others,0,0.0,22
Angola,2021-06-14,non_who,0,0.0,22
Angola,2021-06-28,Alpha,30,50.85,59
Angola,2021-06-28,B.1.1.277,0,0.0,59
Angola,2021-06-28,B.1.1.302,0,0.0,59
Angola,2021-06-28,B.1.1.519,0,0.0,59
Angola,2021-06-28,B.1.160,0,0.0,59
Angola,2021-06-28,B.1.177,0,0.0,59
Angola,2021-06-28,B.1.221,0,0.0,59
Angola,2021-06-28,B.1.258,0,0.0,59
Angola,2021-06-28,B.1.367,0,0.0,59
Angola,2021-06-28,B.1.620,0,0.0,59
Angola,2021-06-28,Beta,18,30.51,59
Angola,2021-06-28,Delta,10,16.95,59
Angola,2021-06-28,Epsilon,0,0.0,59
Angola,2021-06-28,Eta,0,0.0,59
Angola,2021-06-28,Gamma,0,0.0,59
Angola,2021-06-28,Iota,0,0.0,59
Angola,2021-06-28,Kappa,0,0.0,59
Angola,2021-06-28,Lambda,0,0.0,59
Angola,2021-06-28,Mu,0,0.0,59
Angola,2021-06-28,Omicron,0,0.0,59
Angola,2021-06-28,S:677H.Robin1,0,0.0,59
Angola,2021-06-28,S:677P.Pelican,0,0.0,59
Angola,2021-06-28,others,1,1.69,59
Angola,2021-06-28,non_who,1,1.69,59
Angola,2021-07-12,Alpha,9,19.57,46
Angola,2021-07-12,B.1.1.277,0,0.0,46
Angola,2021-07-12,B.1.1.302,0,0.0,46
Angola,2021-07-12,B.1.1.519,0,0.0,46
Angola,2021-07-12,B.1.160,0,0.0,46
Angola,2021-07-12,B.1.177,0,0.0,46
Angola,2021-07-12,B.1.221,0,0.0,46
Angola,2021-07-12,B.1.258,0,0.0,46
Angola,2021-07-12,B.1.367,0,0.0,46
Angola,2021-07-12,B.1.620,0,0.0,46
Angola,2021-07-12,Beta,12,26.09,46
Angola,2021-07-12,Delta,23,50.0,46
Angola,2021-07-12,Epsilon,0,0.0,46
Angola,2021-07-12,Eta,0,0.0,46
Angola,2021-07-12,Gamma,0,0.0,46
Angola,2021-07-12,Iota,0,0.0,46
Angola,2021-07-12,Kappa,0,0.0,46
Angola,2021-07-12,Lambda,0,0.0,46
Angola,2021-07-12,Mu,0,0.0,46
Angola,2021-07-12,Omicron,0,0.0,46
Angola,2021-07-12,S:677H.Robin1,0,0.0,46
Angola,2021-07-12,S:677P.Pelican,0,0.0,46
Angola,2021-07-12,others,2,4.34,46
Angola,2021-07-12,non_who,2,4.34,46
Angola,2021-07-26,Alpha,2,20.0,10
Angola,2021-07-26,B.1.1.277,0,0.0,10
Angola,2021-07-26,B.1.1.302,0,0.0,10
Angola,2021-07-26,B.1.1.519,0,0.0,10
Angola,2021-07-26,B.1.160,0,0.0,10
Angola,2021-07-26,B.1.177,0,0.0,10
Angola,2021-07-26,B.1.221,0,0.0,10
Angola,2021-07-26,B.1.258,0,0.0,10
Angola,2021-07-26,B.1.367,0,0.0,10
Angola,2021-07-26,B.1.620,0,0.0,10
Angola,2021-07-26,Beta,1,10.0,10
Angola,2021-07-26,Delta,6,60.0,10
Angola,2021-07-26,Epsilon,0,0.0,10
Angola,2021-07-26,Eta,0,0.0,10
Angola,2021-07-26,Gamma,0,0.0,10
Angola,2021-07-26,Iota,0,0.0,10
Angola,2021-07-26,Kappa,0,0.0,10
Angola,2021-07-26,Lambda,0,0.0,10
Angola,2021-07-26,Mu,0,0.0,10
Angola,2021-07-26,Omicron,0,0.0,10
Angola,2021-07-26,S:677H.Robin1,0,0.0,10
Angola,2021-07-26,S:677P.Pelican,0,0.0,10
Angola,2021-07-26,others,1,10.0,10
Angola,2021-07-26,non_who,1,10.0,10
Angola,2021-08-09,Alpha,0,0.0,4
Angola,2021-08-09,B.1.1.277,0,0.0,4
Angola,2021-08-09,B.1.1.302,0,0.0,4
Angola,2021-08-09,B.1.1.519,0,0.0,4
Angola,2021-08-09,B.1.160,0,0.0,4
Angola,2021-08-09,B.1.177,0,0.0,4
Angola,2021-08-09,B.1.221,0,0.0,4
Angola,2021-08-09,B.1.258,0,0.0,4
Angola,2021-08-09,B.1.367,0,0.0,4
Angola,2021-08-09,B.1.620,0,0.0,4
Angola,2021-08-09,Beta,1,25.0,4
Angola,2021-08-09,Delta,3,75.0,4
